song_id,title,artist,times_used,spotify_track_id,is_rumix,catalog,season_id
S0002,We Break the Dawn,Michelle Williams,1,01drW5lmrI1SWrSkDzivsj,No,LIPSYNC,-
S0003,The Greatest Love of All,Whitney Houston,1,6yJxCltgtmGxIgKOS6ndnu,No,LIPSYNC,-
S0004,Would I Lie to You?,Eurythmics,2,0e3oKMtktdRlmCWQLK62TO,No,LIPSYNC,-
S0005,Stronger,Britney Spears,2,5QhBKPqsnX1uY9fZNaAtZg,No,LIPSYNC,-
S0007,Cover Girl (Put the Bass in Your Walk),RuPaul,3,38u74wUfcE5N47L2m9qYrZ,Yes,LIPSYNC,-
S0008,My Lovin' (You're Never Gonna Get It),En Vogue,2,3R97rNX7JnmshCWBwOSFet,No,LIPSYNC,-
S0010,Two of Hearts,Stacey Q,1,2dURQIBrw3XcHyVZlfdpC1,No,LIPSYNC,-
S0011,Carry On,Martha Wash,1,3Cg0TgAFloolCYYtAkyyYa,No,LIPSYNC,-
S0012,Black Velvet,Alannah Myles,1,3469whchIAwhnlg2Sfuf8Z,No,LIPSYNC,-
S0013,He's the Greatest Dancer,Sister Sledge,1,22toRuGCw6ApFZaS9jquED,No,LIPSYNC,-
S0014,Shake Your Love,Debbie Gibson,1,6gM3uxq9TPkms83bTSlK10,No,LIPSYNC,-
S0015,Something He Can Feel,Aretha Franklin,1,4IOtu2nO8Us3kPtEZmUr0k,No,LIPSYNC,-
S0017,The Right Stuff,Vanessa Williams,2,4XOq7frultDFgx4l3wuRPc,No,LIPSYNC,-
S0019,Don't Leave Me This Way,Thelma Houston,4,6RqeSykmswmQedR15bu0iv,No,LIPSYNC,-
S0020,Meeting in the Ladies Room,Klymaxx,1,1910dUGDQpQEeo25bHZidU,No,LIPSYNC,-
S0021,Looking for a New Love,Jody Watley,1,64M7vSptOdMCuHwYzKuplj,No,LIPSYNC,-
S0022,Knock on Wood,Amii Stewart,2,7uPY04JODJM6EKFoJp65LL,No,LIPSYNC,-
S0023,MacArthur Park,Donna Summer,1,6wgQL5O7VhTUsBFuudWxy7,No,LIPSYNC,-
S0024,Mickey (Spanish version),Toni Basil,1,7EC4tkhP1HK9oM34HBWyIp,No,LIPSYNC,-
S0025,Believe,Cher,3,2goLsvvODILDzeeiT4dAoR,No,LIPSYNC,-
S0026,Even Angels,Fantasia,1,0g5HMIpIO92FFVSxsD8RqB,No,LIPSYNC,-
S0027,Straight Up,Paula Abdul,1,0leaVjBZ7xvvdoTDnMC7RQ,No,LIPSYNC,-
S0028,I Think About You,Patti LaBelle,1,4doSpsX1xxbf55TMA85I3G,No,LIPSYNC,-
S0029,Champion (DJ BunJoe's Olympic Mix),RuPaul,1,7MMq6tyXkzTzGbSTLLkHVM,Yes,LIPSYNC,-
S0030,Toxic,Britney Spears,2,6I9VzXrHxO9rA9A5euc8Ak,No,LIPSYNC,-
S0031,Bad Girls,Donna Summer,1,1ibRqifchaAfeNdQGpbRVW,No,LIPSYNC,-
S0032,This Will Be (An Everlasting Love),Natalie Cole,1,0PDCewmZCp0P5s00bptcdd,No,LIPSYNC,-
S0033,Trouble,Pink,1,0qrGSKtrEj7PJAGVBFE9vG,No,LIPSYNC,-
S0034,Vogue,Madonna,1,3WFgRhgECxQYyy8Ldhk2PG,No,LIPSYNC,-
S0035,Born This Way,Lady Gaga,3,30XU4suKzCeoCK9YFzdufg,No,LIPSYNC,-
S0038,I've Got to Use My Imagination,Gladys Knight & the Pips,1,5r3q5qzU1LoxfORgwuvLCa,No,LIPSYNC,-
S0039,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1,5K09WxKdlkroDyEVyOSySy,No,LIPSYNC,-
S0040,No One Else on Earth,Wynonna Judd,1,52PGtJuGEFNVOnRdLac1Av,No,LIPSYNC,-
S0041,Party in the U.S.A.,Miley Cyrus,1,3E7dfMvvCLUddWissuqMwr,No,LIPSYNC,-
S0042,Only Girl (In the World),Rihanna,2,2ENexcMEMsYk0rVJigVD3i,No,LIPSYNC,-
S0043,When I Grow Up,The Pussycat Dolls,3,21pySLskKIKrhDziCX5ojQ,No,LIPSYNC,-
S0045,Take Me Home,Cher,1,4K5JJ9YmKx2hqnOnvV1lvF,No,LIPSYNC,-
S0046,I'm So Excited,The Pointer Sisters,1,1ot6jEe4w4hYnsOPjd3xKQ,No,LIPSYNC,-
S0047,Whip My Hair,Willow Smith,1,4Dio1t8RHzLv1nfPJTSZyP,No,LIPSYNC,-
S0048,Ain't Nothin' Goin' On but the Rent,Gwen Guthrie,1,4De6tTVXe0N3V0OPOmkvT3,No,LIPSYNC,-
S0049,Cold Hearted,Paula Abdul,2,6jrp8qBMJO6vhAeYVAsdk9,No,LIPSYNC,-
S0051,Malambo No. 1,Yma Sumac,1,0dWjmxgHB7fzp7PKTZwZJI,No,LIPSYNC,-
S0052,Express Yourself,Madonna,2,4AJflRLCvU0qtZQnVUq5l1,No,LIPSYNC,-
S0053,Turn the Beat Around,Vicki Sue Robinson,1,0XQxZZIgdcXBaxgL7zMKpK,No,LIPSYNC,-
